,corr
HighBP^-3.0 *HighChol^-3.0,
HighBP^-3.0 *CholCheck^-3.0,
HighBP^-3.0 *BMI^-3.0,
HighBP^-3.0 *Smoker^-3.0,
HighBP^-3.0 *Stroke^-3.0,
HighBP^-3.0 *HeartDiseaseorAttack^-3.0,
HighBP^-3.0 *PhysActivity^-3.0,
HighBP^-3.0 *Fruits^-3.0,
HighBP^-3.0 *Veggies^-3.0,
HighBP^-3.0 *HvyAlcoholConsump^-3.0,
HighBP^-3.0 *AnyHealthcare^-3.0,
HighBP^-3.0 *NoDocbcCost^-3.0,
HighBP^-3.0 *GenHlth^-3.0,
HighBP^-3.0 *MentHlth^-3.0,
HighBP^-3.0 *PhysHlth^-3.0,
HighBP^-3.0 *DiffWalk^-3.0,
HighBP^-3.0 *Sex^-3.0,
HighBP^-3.0 *Age^-3.0,
HighBP^-3.0 *Education^-3.0,
HighBP^-3.0 *Income^-3.0,
HighChol^-3.0 *CholCheck^-3.0,
HighChol^-3.0 *BMI^-3.0,
HighChol^-3.0 *Smoker^-3.0,
HighChol^-3.0 *Stroke^-3.0,
HighChol^-3.0 *HeartDiseaseorAttack^-3.0,
HighChol^-3.0 *PhysActivity^-3.0,
HighChol^-3.0 *Fruits^-3.0,
HighChol^-3.0 *Veggies^-3.0,
HighChol^-3.0 *HvyAlcoholConsump^-3.0,
HighChol^-3.0 *AnyHealthcare^-3.0,
HighChol^-3.0 *NoDocbcCost^-3.0,
HighChol^-3.0 *GenHlth^-3.0,
HighChol^-3.0 *MentHlth^-3.0,
HighChol^-3.0 *PhysHlth^-3.0,
HighChol^-3.0 *DiffWalk^-3.0,
HighChol^-3.0 *Sex^-3.0,
HighChol^-3.0 *Age^-3.0,
HighChol^-3.0 *Education^-3.0,
HighChol^-3.0 *Income^-3.0,
CholCheck^-3.0 *BMI^-3.0,
CholCheck^-3.0 *Smoker^-3.0,
CholCheck^-3.0 *Stroke^-3.0,
CholCheck^-3.0 *HeartDiseaseorAttack^-3.0,
CholCheck^-3.0 *PhysActivity^-3.0,
CholCheck^-3.0 *Fruits^-3.0,
CholCheck^-3.0 *Veggies^-3.0,
CholCheck^-3.0 *HvyAlcoholConsump^-3.0,
CholCheck^-3.0 *AnyHealthcare^-3.0,
CholCheck^-3.0 *NoDocbcCost^-3.0,
CholCheck^-3.0 *GenHlth^-3.0,
CholCheck^-3.0 *MentHlth^-3.0,
CholCheck^-3.0 *PhysHlth^-3.0,
CholCheck^-3.0 *DiffWalk^-3.0,
CholCheck^-3.0 *Sex^-3.0,
CholCheck^-3.0 *Age^-3.0,
CholCheck^-3.0 *Education^-3.0,
CholCheck^-3.0 *Income^-3.0,
BMI^-3.0 *Smoker^-3.0,
BMI^-3.0 *Stroke^-3.0,
BMI^-3.0 *HeartDiseaseorAttack^-3.0,
BMI^-3.0 *PhysActivity^-3.0,
BMI^-3.0 *Fruits^-3.0,
BMI^-3.0 *Veggies^-3.0,
BMI^-3.0 *HvyAlcoholConsump^-3.0,
BMI^-3.0 *AnyHealthcare^-3.0,
BMI^-3.0 *NoDocbcCost^-3.0,
BMI^-3.0 *GenHlth^-3.0,-0.17058445845838913
BMI^-3.0 *MentHlth^-3.0,
BMI^-3.0 *PhysHlth^-3.0,
BMI^-3.0 *DiffWalk^-3.0,
BMI^-3.0 *Sex^-3.0,
BMI^-3.0 *Age^-3.0,-0.061574030193915455
BMI^-3.0 *Education^-3.0,0.004826804016082554
BMI^-3.0 *Income^-3.0,0.01920839197006066
Smoker^-3.0 *Stroke^-3.0,
Smoker^-3.0 *HeartDiseaseorAttack^-3.0,
Smoker^-3.0 *PhysActivity^-3.0,
Smoker^-3.0 *Fruits^-3.0,
Smoker^-3.0 *Veggies^-3.0,
Smoker^-3.0 *HvyAlcoholConsump^-3.0,
Smoker^-3.0 *AnyHealthcare^-3.0,
Smoker^-3.0 *NoDocbcCost^-3.0,
Smoker^-3.0 *GenHlth^-3.0,
Smoker^-3.0 *MentHlth^-3.0,
Smoker^-3.0 *PhysHlth^-3.0,
Smoker^-3.0 *DiffWalk^-3.0,
Smoker^-3.0 *Sex^-3.0,
Smoker^-3.0 *Age^-3.0,
Smoker^-3.0 *Education^-3.0,
Smoker^-3.0 *Income^-3.0,
Stroke^-3.0 *HeartDiseaseorAttack^-3.0,
Stroke^-3.0 *PhysActivity^-3.0,
Stroke^-3.0 *Fruits^-3.0,
Stroke^-3.0 *Veggies^-3.0,
Stroke^-3.0 *HvyAlcoholConsump^-3.0,
Stroke^-3.0 *AnyHealthcare^-3.0,
Stroke^-3.0 *NoDocbcCost^-3.0,
Stroke^-3.0 *GenHlth^-3.0,
Stroke^-3.0 *MentHlth^-3.0,
Stroke^-3.0 *PhysHlth^-3.0,
Stroke^-3.0 *DiffWalk^-3.0,
Stroke^-3.0 *Sex^-3.0,
Stroke^-3.0 *Age^-3.0,
Stroke^-3.0 *Education^-3.0,
Stroke^-3.0 *Income^-3.0,
HeartDiseaseorAttack^-3.0 *PhysActivity^-3.0,
HeartDiseaseorAttack^-3.0 *Fruits^-3.0,
HeartDiseaseorAttack^-3.0 *Veggies^-3.0,
HeartDiseaseorAttack^-3.0 *HvyAlcoholConsump^-3.0,
HeartDiseaseorAttack^-3.0 *AnyHealthcare^-3.0,
HeartDiseaseorAttack^-3.0 *NoDocbcCost^-3.0,
HeartDiseaseorAttack^-3.0 *GenHlth^-3.0,
HeartDiseaseorAttack^-3.0 *MentHlth^-3.0,
HeartDiseaseorAttack^-3.0 *PhysHlth^-3.0,
HeartDiseaseorAttack^-3.0 *DiffWalk^-3.0,
HeartDiseaseorAttack^-3.0 *Sex^-3.0,
HeartDiseaseorAttack^-3.0 *Age^-3.0,
HeartDiseaseorAttack^-3.0 *Education^-3.0,
HeartDiseaseorAttack^-3.0 *Income^-3.0,
PhysActivity^-3.0 *Fruits^-3.0,
PhysActivity^-3.0 *Veggies^-3.0,
PhysActivity^-3.0 *HvyAlcoholConsump^-3.0,
PhysActivity^-3.0 *AnyHealthcare^-3.0,
PhysActivity^-3.0 *NoDocbcCost^-3.0,
PhysActivity^-3.0 *GenHlth^-3.0,
PhysActivity^-3.0 *MentHlth^-3.0,
PhysActivity^-3.0 *PhysHlth^-3.0,
PhysActivity^-3.0 *DiffWalk^-3.0,
PhysActivity^-3.0 *Sex^-3.0,
PhysActivity^-3.0 *Age^-3.0,
PhysActivity^-3.0 *Education^-3.0,
PhysActivity^-3.0 *Income^-3.0,
Fruits^-3.0 *Veggies^-3.0,
